School_Name_EN,Zone_Desc_EN,SchoolGender_EN,School_Category_EN,School_Phone,School_Email
AL JIMI KG,AL AIN,Mixed,Public,037194027,1263@moe.gov.ae
AL QEMMA,ABU DHABI,Mixed,Public,024119087,1382@moe.gov.ae
AL REYADA,ABU DHABI,Female,Public,024119097,1383@moe.gov.ae
AL SHAWAMEKH,ABU DHABI,Female,Public,024119457,1384@moe.gov.ae
AL EZZAH,ABU DHABI,Mixed,Public,025859772,1386@moe.gov.ae
REEFAA,AL AIN,Mixed,Public,037808900,1389@moe.gov.ae
AALIYA,AL AIN,Mixed,Public,037808466,1390@moe.gov.ae
AHMED BIN ZAYED,AL AIN,Mixed,Public,037374195,1391@moe.gov.ae
AL SHAHEEN,AL AIN,Mixed,Public,037853766,1392@moe.gov.ae
AL TOMOOH,AL AIN,Mixed,Public,037851917,1393@moe.gov.ae
AL BEDAYAH KG,ABU DHABI,Mixed,Public,024119597,1394@moe.gov.ae
FATIMAH BINT MUBARAK,ABU DHABI,Female,Public,024119167,1396@moe.gov.ae
ABDUL JALIL AL FAHIM,ABU DHABI,Male,Public,026425429,1397@moe.gov.ae
AL FOUAAH,AL AIN,Female,Public,37832494,1398@moe.gov.ae
ALI BIN ABI TALEB,AL AIN,Male,Public,037194155,Un-Known
EMIRATES KINDERGARTEN AND CYCLE1,Ras Al Khaimah,Mixed,Public,072440552,1402@moe.gov.ae
AL THURAYA KG,ABU DHABI,Mixed,Public,025641094,1543@moe.gov.ae
AL MESK KG,AL AIN,Mixed,Public,037194047,1545@moe.gov.ae
HUNAIN,ABU DHABI,Female,Public,024119162,1547@moe.gov.ae
AL HUITEEN,AL DHAFRA,Mixed,Public,028828158,1562@moe.gov.ae
KHANOOR,AL DHAFRA,Mixed,Public,028823351,1563@moe.gov.ae
AL SHABHANA,AL DHAFRA,Male,Public,028987114,1564@moe.gov.ae
BAYAH,AL DHAFRA,Female,Public,028721345,1565@moe.gov.ae
AL FALAH,AL DHAFRA,Male,Public,28840414,1643@moe.gov.ae
AL EBTEKAR,AL DHAFRA,Male,Public,028987036,1662@moe.gov.ae
BAYNOUNA,AL DHAFRA,Male,Public,028987061,1682@moe.gov.ae
SHEIKHA BINT SUROOR,AL AIN,Mixed,Public,037838781,1702@moe.gov.ae
MOHAMMED BIN KHALED,AL AIN,Mixed,Public,037194642,1703@moe.gov.ae
NEIMA,AL AIN,Mixed,Public,037374260,1704@moe.gov.ae
AL JOOD,AL AIN,Mixed,Public,037379094,1705@moe.gov.ae
AL SAMMALIYA,ABU DHABI,Male,Public,024119067,1707@moe.gov.ae
UMM AL ARAB,ABU DHABI,Female,Public,025848631,1722@moe.gov.ae
YAS,ABU DHABI,Mixed,Public,025651240,1724@moe.gov.ae
AL MASEERA,AL AIN,Mixed,Public,037194612,1726@moe.gov.ae
ALSHEIKHA HISA BINT SAQR PRIVATE SCHOOL,Ras Al Khaimah,Mixed,Private,072362387;072363512;0506900345,hissabintsaqr@hotmail.com
AL QUDRA,ABU DHABI,Male,Public,025844140,1742@moe.gov.ae
AMRA BINT ABDEL RAHMAN,AL DHAFRA,Female,Public,028774032;028987066,1762@moe.gov.ae
EMIRATES PRIVATE SCHOOL,AL FUJAIRAH,Mixed,Private,,em-school2010@hotmail.com
AL MOKTASHIF AL SAGHIR KG,ABU DHABI,Mixed,Public,024119521;024119524,1782@ese.gov.ae
AL WATHBA CENTER OF INTEGRATED CONTINUING EDUCATION (FEMALE - MORNING),ABU DHABI,Female,Continuous,025830377,Un-Known
HAMDAN BIN ZAYED,ABU DHABI,Mixed,Public,026500599,1822@moe.gov.ae
AL-ARABIYA PRIVATE SCHOOL,Ras Al Khaimah,Mixed,Private,072227756;072228856,arabic.school@hotmail.com
UMM AL QURA PRIVATE SCHOOL,Umm Al Quwain,Mixed,Private,067655147;067656560,schooluaq1@gmail.com
AL NAHRAWAN,AL DHAFRA,Mixed,Public,0504411736;028987026,1994@moe.gov.ae
AL KHAIR,AL AIN,Female,Public,037194632,1997@moe.gov.ae
AL SAADA - ABU DHABI,AL AIN,Mixed,Public,0507133090;037194622,1999@moe.gov.ae
SALMAN AL-FARISY PRIVATE BOYS SCHOOL,SHARJAH,Mixed,Private,065227380,salmanalfarsy-psch@sez.shj.ae
AL AHLIAH PVT. SCHOOLS LLC.,SHARJAH,Mixed,Private,065671113;065671244;065664126;0567229876,Un-Known
AL-NOOR INTRNATIONAL PRIVATE,SHARJAH,Mixed,Private,065177000,Un-Known
AL-SHOALA PRIVATE SCHOOL,SHARJAH,Mixed,Private,065583453;0504592783;065388690,Un-Known
ALRAWABY PRIVATE SCHOOL,Ras Al Khaimah,Mixed,Private,072282155;072282297,info@alrawabischool.ae
SHARJAH PRIVATE SCHOOL,SHARJAH,Mixed,Private,065664330;065660135,Un-Known
Al Tafawq Private School,SHARJAH,Mixed,Private,068822989;068823445,Un-Known
AL BASSAER PRIVATE SCHOOL,SHARJAH,Mixed,Private,065226742;065226777;5223777,info@albassaersch.com
IBN KHALDOUN PRIVATE SCHOOL,SHARJAH,Mixed,Private,065226888;065228282,binkhaldoon-psch@sez.shj.ae
SHARJAH INTERNATIONAL PRIVATE SCHOOL,SHARJAH,Mixed,Private,065586624;0504882454,Un-Known
AL ULA PRIVATE SCHOOL,SHARJAH,Mixed,Private,0504798250;065241411;0559909726;065241419,alula200@emirates.net.ae
Al Ahliya Private School,SHARJAH,Mixed,Private,065668222;0561477339;0503386111,ahliya_school@hotmail.com
AL DHAID PRIVATE SCHOOL,SHARJAH,Mixed,Private,068828289;0505524803,dhaid.psch2014@gmail.com
NATIONAL CHARITY PRIVATE GIRLES SCHOOL - SHARJAH,SHARJAH,Mixed,Private,0507819374,Natcharity-g-psch@spea.shj.ae
NATIONAL CHARITY PRIVATE BOYS SCHOOL - SHARJAH,SHARJAH,Male,Private,065246565;065246665,Un-Known
Al Shola Private School Boys,SHARJAH,Male,Private,065441144;0506316897;065388690,Un-Known
AL ESTIQLAL PRIVATE SCHOOL,SHARJAH,Mixed,Private,065676871,estiqlal@al-estiqlalschool.com
EMIRATES PRIVATE SCHOOL,SHARJAH,Mixed,Private,065613917;065614469;065617887,Un-Known
AL DHIA AL ILMIYAH PRIVATE SCHOOL,SHARJAH,Mixed,Private,,Un-Known
Alsalaf Alsaleh Private School,Ras Al Khaimah,Mixed,Private,,info@salafschool.ae
SONAA ALGHAD PRIVATE SCHOOL,SHARJAH,Mixed,Private,065668818;065668817;0528688085,sonaa.alghad@hotmail.com
AL NEBRAS,AL AIN,Male,Public,037194220,2002@moe.gov.ae
AL DHAFRA,AL DHAFRA,Male,Public,028882789,2005@moe.gov.ae
DALMA,AL DHAFRA,Mixed,Public,028987091,2017@moe.gov.ae
ROOH AL ETIHAD,ABU DHABI,Male,Public,024119462,2018@moe.gov.ae
BANI YAS CITY,ABU DHABI,Female,Public,024119592,2019@moe.gov.ae
ZAYED AL AWAL,AL AIN,Male,Public,037194824,2020@moe.gov.ae
MLEIH,ABU DHABI,Female,Public,024119282,2021@moe.gov.ae
Al Joori,AL AIN,Mixed,Public,037194062,2022@moe.gov.ae
Tolerance Schools - Bani Yas West,ABU DHABI,Mixed,Public,,2024@moe.gov.ae
AL HOSN SCIENTIFIC SCHOOL,AL DHAFRA,Mixed,Public,028987207,2025@moe.gov.ae
AL NAHDHA C3 BOYS,ABU DHABI,Male,Public,024119287,2026@moe.gov.ae
HAMDAN BIN ZAYED C2 AND 3 BOY,ABU DHABI,Mixed,Public,024119764;0507722818,2027@moe.gov.ae
NEIMA C2 BOYS,AL AIN,Male,Public,,2028@moe.gov.ae
AL DHAHER C3 GIRLS,AL AIN,Female,Public,0507334458;037194829;037194830;037194831;037194832,2029@moe.gov.ae
Mbazzarah Al Khadra,AL AIN,Female,Public,037194015,2030@moe.gov.ae
AL QOUA C2 BOYS,AL AIN,Male,Public,037194080;0547265800,2031@moe.gov.ae
Baniyas City C1,ABU DHABI,Mixed,Public,024119117,Un-Known
Tolerance Schools - Bani Yas East,ABU DHABI,Male,Public,024119303,2036@moe.gov.ae
Rabdan C2 Boys,ABU DHABI,Male,Public,024119477,Un-Known
Abu Dhabi Care and Rehabilitation School,ABU DHABI,Mixed,Public,023056144,Adc.office@zho.gov.ae
Al Ain care and Rehabilitation School,AL AIN,Mixed,Public,037167900,alain.center@zho.gov.ae
Al Marfaa Care and Rehabilitation School,AL DHAFRA,Mixed,Public,023056341,Almrfaa@zho.gov.ae
Al Quaa Care and Rehabilitation School,AL AIN,Mixed,Public,037167955,ALQOA.Center@zho.gov.ae
Al Selaa Care and Rehabilitation School,AL DHAFRA,Mixed,Public,023056368,ALsila.Center@zho.gov.ae
Ghayathi Care and Rehabilitation School,AL DHAFRA,Mixed,Public,023056322,Ghaiathy.Center@zho.gov.ae
Al Wagan Care and Rehabilitation School,AL AIN,Mixed,Public,037167800,ALWAGAN.Center@zho.gov.ae
AJMAN PRIVATE SCHOOL,AJMAN,Mixed,Private,067480444;0559437823;0501507833,ajmanps@emirates.net.ae
AL RASHIDIYA PRIVATE SCHOOL,AJMAN,Mixed,Private,067425593;0558075814,mawoda@hotmail.com
KHALIFAH BIN ZAYED (AL AIN),AL AIN,Male,Public,037636661,228@moe.gov.ae
ATIFAL AL MAEREFA KG,ABU DHABI,Mixed,Public,024119400,229@Moe.gov.ae
MOHAMMAD BIN AL QASEM,ABU DHABI,Mixed,Public,024119107,230@moe.gov.ae
RAMAH,AL AIN,Male,Public,037371099,232@moe.gov.ae
AL MAALI,AL AIN,Female,Public,037811175,234@moe.gov.ae
AL FURSAN KG,ABU DHABI,Mixed,Public,025833440,235@moe.gov.ae
AL SADARAH,AL AIN,Male,Public,037194712,239@moe.gov.ae
AL SALAMAT,AL AIN,Male,Public,037835414,241@moe.gov.ae
SEER BANI YAS,ABU DHABI,Male,Public,025525988,242@moe.gov.ae
AL TAWEELAH,ABU DHABI,Mixed,Public,025621898,248@moe.gov.ae
HESSA BINT MOHAMMAD,AL AIN,Female,Public,037194647,249@moe.gov.ae
AL ETHAAR KG,ABU DHABI,Mixed,Public,024119586,250@moe.gov.ae
BIN HAM,AL AIN,Male,Public,037194002,252@moe.gov.ae
AL GHAZALI,ABU DHABI,Male,Public,026676800,253@moe.gov.ae
AIN JALOOT,ABU DHABI,Mixed,Public,024479281,256@moe.gov.ae
UM GHAFA KG,AL AIN,Mixed,Public,037833122,259@moe.gov.ae
AL DHAHERA,AL AIN,Male,Public,037194444,260@moe.gov.ae
BONAT AL GHAD KG,ABU DHABI,Mixed,Public,025844508,261@moe.gov.ae
AL KHAZNAH,AL AIN,Male,Public,025661012,262@moe.gov.ae
AL MASHAAL KG,AL DHAFRA,Mixed,Public,028987022;0501112628;028987020,263@moe.gov.ae
TIFEL AL EMARAT KG,AL AIN,Mixed,Public,037822939,264@moe.gov.ae
AL SHOWAIB,AL AIN,Male,Public,037323335,268@moe.gov.ae
AL TAMAYYOZ,AL AIN,Male,Public,037194792,269@moe.gov.ae
AL AFAAQ,ABU DHABI,Mixed,Public,024466080,270@moe.gov.ae
SHAKHBOUT BIN SULTAN,AL AIN,Male,Public,037814878,272@moe.gov.ae
ZAYED AL THANI,ABU DHABI,Male,Public,024119551,273@moe.gov.ae
AL YASAT KG,ABU DHABI,Mixed,Public,025632677,276@moe.gov.ae
QATR AL NADA,AL DHAFRA,Female,Public,028847359,282@moe.gov.ae
KHALIFAH BIN ZAYED,ABU DHABI,Male,Public,024119427,283@MOE.GOV.AE
AL SEDDIQUE,AL DHAFRA,Male,Public,028987054,285@moe.gov.ae
AL BATEEN,ABU DHABI,Mixed,Public,024916776,288@moe.gov.ae
AL LOULO,ABU DHABI,Mixed,Public,025821366,292@moe.gov.ae
SALAMAH BINT BUTI,ABU DHABI,Female,Public,024119247,296@moe.gov.av
HILI,AL AIN,Mixed,Public,037843501,301@moe.gov.ae
AL AJBAAN,ABU DHABI,Male,Public,025633177,303@moe.gov.ae
AL JEEL KG,ABU DHABI,Mixed,Public,025843653,309@moe.gov.ae
AL TAQWA KG,AL AIN,Mixed,Public,037819631,313@moe.gov.ae
BU KOREYYA,AL AIN,Male,Public,037838761,315@moe.gov.ae
BAY'AT AL-RDWAN CENTER OF INTEGRATED CONTINUING EDUCATION (FEMALE - MORNING),AL DHAFRA,Female,Continuous,028740048,Un-Known
Ibn Sina,ABU DHABI,Mixed,Public,025631560,320@moe.gov.ae
SULTAN BIN ZAYED,AL AIN,Male,Public,037194682,321@moe.gov.ae
AL NAHYANIYYAH,AL AIN,Mixed,Public,037555025,322@ese.gov.ae
AL MAWAHEB,ABU DHABI,Female,Public,024119797,325@moe.gov.ae
AL RAQIAH,AL AIN,Mixed,Public,037635123,327@moe.gov.ae
AL HAYAR,AL AIN,Male,Public,037194272,330@moe.gov.ae
AL QUAA,AL AIN,Male,Public,037194777,333@moe.gov.ae
AL REEF,ABU DHABI,Female,Public,024119021,335@moe.gov.ae
AL ADL,AL AIN,Male,Public,037816070;037194672,337@moe.gov.ae
AL TAFAWWOQ,ABU DHABI,Male,Public,024119262,339@moe.gov.ae
AL MOZDALEFA,ABU DHABI,Mixed,Public,025838023,348@moe.gov.ae
NATIONAL PRIVATE SCHOOL,AJMAN,Mixed,Private,0529087389,P352.62@privatemoe.ae
AL DAHMAA,AL AIN,Male,Public,037678828,354@moe.gov.ae
AL AQSA PRIVATE SCHOOL,AJMAN,Mixed,Private,,alaqsaps@emirates.net.ae
SALAMAH BINT BUTI (AL AIN),AL AIN,Female,Public,037194677,359@moe.gov.ae
ATFAL AL HILAL KG,AL AIN,Mixed,Public,037341558,361@moe.gov.ae
AL MOATASEM - Abu Dhabi,ABU DHABI,Male,Public,025833566,362@moe.gov.ae
AL DANAT,AL AIN,Female,Public,037356218,366@moe.gov.ae
AL ZAYEDIYYAH,AL AIN,Male,Public,037194723,367@moe.gov.ae
AL SHAHAMA,ABU DHABI,Female,Public,025645613,368@moe.gov.ae
AL FAYHAA KG,ABU DHABI,Mixed,Public,024119482,371@moe.gov.ae
AL AASIMAH,ABU DHABI,Male,Public,025845295,374@moe.gov.ae
BAYAAT AL REDHWAN,AL DHAFRA,Mixed,Public,028987106,375@moe.gov.ae
SWEIHAN,AL AIN,Male,Public,037194140,376@moe.gov.ae
ZAYED AL KHAIR,AL DHAFRA,Mixed,Public,028844453,378@moe.gov.ae
AL EBTEHAL KG,ABU DHABI,Mixed,Public,025639183,383@moe.gov.ae
AL HEKMAH PRIVATE SCHOOL,AJMAN,Mixed,Private,067464040;0564042471,hikmah05@emirates.net.ae
AL AMAL KG,ABU DHABI,Mixed,Public,024119492,384@moe.gov.ae
AL SAHAB KG,AL DHAFRA,Mixed,Public,028987041,386@moe.gov.ae
AL ITTIHAD,ABU DHABI,Male,Public,026665880,387@moe.gov.ae
ISLAMIC EDUCATION PVT. SCHOOL,Ras Al Khaimah,Mixed,Private,072334344,ISLAM-PSH@HOTMAIL.COM
UM AL EMARAT,ABU DHABI,Female,Public,025844941,390@moe.gov.ae
MARYAM BINT OMRAN,ABU DHABI,Female,Public,025832226,391@moe.gov.ae
AL RAHBA,ABU DHABI,Mixed,Public,025639001,392@moe.gov.ae
MOZA BINT BUTI,ABU DHABI,Female,Public,025631960,393@moe.gov.ae
OBADAH BIN AL SAMET,ABU DHABI,Male,Public,024119497,397@moe.gov.ae
Al-Nada - KG,DUBAI,Mixed,Public,042062442,sameya274632@moe.ae
ALFERDOOS KINDERGARTEN,DUBAI,Mixed,Public,,ALFRDOES.DXB@moe.gov.ae
ALTAWAR KINDERGARTEN,DUBAI,Mixed,Public,,ALFADILA.DXB@moe.gov.ae
ALHEKMA KINDERGARTEN,DUBAI,Mixed,Public,0552555503,SAFIA270001@MOE.AE
JUMEIRA KINDERGARTEN,DUBAI,Mixed,Public,043491373,aisha270242@moe.ae
Nad Al Hamar - KG,DUBAI,Mixed,Public,042062490,ALBARAA.DXB@moe.gov.ae
ALSHROK KINDERGARTEN,DUBAI,Mixed,Public,,ALSHROK.DXB@moe.gov.ae
Hind Bint Maktoum Kindergarten,DUBAI,Mixed,Public,,ALANWAR.DXB@moe.gov.ae
AL-IBDA'A SCHOOL -CYCLE1,DUBAI,Mixed,Public,,Un-Known
OMAR BIN ALKHATTAB BOYS SCHOOL-CYCLE2,DUBAI,Male,Public,042062409,OMARBINALKHATTAB.DXB@moe.gov.ae
AL-AQSA BOYS SCHOOL- CYCLE 1,DUBAI,Mixed,Public,0507640000;042062489,dalal272063@moe.ae
Al-Jahidh Girls' School - Cycle 2,DUBAI,Female,Public,,ALJAHIDH.DXB@moe.gov.ae
HATTA1 SCHOOL -CYCLE1,DUBAI,Mixed,Public,048523875 / 042062542,HATTA.DXB@moe.gov.ae
ALKHAWANEEJ GIRLS' SCHOOL -CYCLE2,DUBAI,Female,Public,042892246,maryam.budahoom@ese.gov.ae
ALRAZI BOYS' SCHOOL CYCLE 2,DUBAI,Male,Public,043943728,ALRAZI.DXB@moe.gov.ae
ALMOHALLAB BOYS' SCHOOL -CYCLE2,DUBAI,Male,Public,0504535364,muna.alghafri@ese.gov.ae
Al-Shafei Boys School Cycle 2,DUBAI,Male,Public,043441883,ALSHAFEA.DXB@moe.gov.ae
MOHAMMAD NOOR BOYS' SCHOOL -CYCLE2,DUBAI,Male,Public,04-2062526;0505537577,Maymoona.Aljohari@ese.gov.ae
ALSAFA BOYS' SCHOOL FOR SECONDARY EDUCATION,DUBAI,Male,Public,043491893;0563340788;043498561,ALSAFA.DXB@moe.gov.ae
MOHAMMED BIN RASHID AL MAKTOUM SCHOOL FOR SECONDRY EDUCATION,DUBAI,Male,Public,,MOHAMMEDBINRASHID.DXB@moe.gov.ae
DUBAI BOYS' SCHOOL FOR SECONDARY EDUCATION,DUBAI,Male,Public,042062508,amina.hassan@ese.gov.ae
AL-MA'ARIF BOYS' SCHOOL FOR SECONDARY EDUCATION,DUBAI,Male,Public,04-2862707;042862237,ALMAARIF.DXB@moe.gov.ae
RASHID BIN SA'EED BOYS' SECONDARY SCHOOL,DUBAI,Male,Public,0506222056;042062540,Abdulla.Alhanjeri@ese.gov.ae
HAMDAN BIN RASHID BOYS SCHOOL FOR SECONDARY EDUCATION,DUBAI,Male,Public,042802726;042802725,hamdanbs@hotmail.com
AL-LASEELI BOYS S SCHOOL CYCLE2 & SECONDARY EDUCATION,DUBAI,Male,Public,,Madeya.BinTouq@ese.gov.ae
AL-WAHEDA BOYS' SCHOOL FOR SECONDARY EDUCATION,DUBAI,Male,Public,042728439;042735137,Un-Known
MOHAMMED BIN RASHID SCHOOL-CYCLE 1,DUBAI,Mixed,Public,,GARNATA.DXB@moe.gov.ae
JUMAIRAH SCHOOL CYCLE 1,DUBAI,Mixed,Public,0506586622,maryam-m.saleh@ese.gov.ae
SALMA AL-A NSARIAH GIRLS SCHOOL CYCLE 1,DUBAI,Mixed,Public,,SALMAALANSARIAH.DXB@moe.gov.ae
HESSA BINT AL -MOR GIRLS SCHOOL CYCLE 2,DUBAI,Female,Public,0508252861,HISSABINTALMURR.DXB@moe.gov.ae
AL FATEH,ABU DHABI,Mixed,Public,025840254,405@moe.gov.ae
DECEMBER THE SECOND GIRLS SCHOOL -CYCLE 1,DUBAI,Mixed,Public,042062454;0506247977,muna.hassan@ese.gov.ae
Al-SAADA SCHOOL -CYCLE 1,DUBAI,Mixed,Public,042062400 ;0503605605;042062401;0508859828,rafia271999@moe.ae
ALWASEL GIRLS SCHOOL CYCLE 2,DUBAI,Female,Public,,ALWASL.DXB@moe.gov.ae
ALHUDAIBIA SCHOOL-CYCLE 1,DUBAI,Mixed,Public,0569310167;042065204;0504584582,khadija274721@moe.ae
SARA SCHOOL -CYCLE 1,DUBAI,Mixed,Public,0561861757,safiya271457@moe.ae
ANEESA AL-ANSARIAH GIRLS SCHOOL CYCLE 1,DUBAI,Mixed,Public,043386611,fadhila269553@moe.ae
HIND BINT MAKTOOM GIRLS SCHOOL CYCLE 1,DUBAI,Mixed,Public,043280042;043480704,HINDBINTMAKTOOM.DXB@moe.gov.ae
AL NAEEM,AL AIN,Female,Public,037827600,406@moe.gov.ae
